序号,代码,名称,最新价,今日主力净占比 %,今日排名,今日涨跌 %,5日主力净占比 %,5日排名,5日涨跌 %,10日主力净占比 %,10日排名,10日涨跌 %,所属板块,板块代码
1,605258,协和电子,42.08,75.4,1,10.01,85.84,1,58.43,85.84,1,58.43,电子元件,BK0459
2,605266,健之佳,139.71,69.64,2,10,81.98,2,91.67,81.98,2,91.67,医疗行业,BK0727
3,3004,声迅股份,51.68,63.51,3,10,61.27,3,61.05,68.01,3,155.08,安防设备,BK0735
4,600360,华微电子,9.2,53.26,4,10.05,23.07,7,17.5,17.43,8,18.56,电子元件,BK0459
5,603009,北特科技,7.02,49.6,5,10.03,11.14,33,7.18,4.82,102,9.18,汽车行业,BK0481
6,150,宜华健康,3.14,41.1,6,10.18,15.11,15,13.77,5.46,76,9.79,医疗行业,BK0727
7,600081,东风科技,14.11,41.03,7,9.98,7.22,107,10.75,2.25,311,13.61,汽车行业,BK0481
8,633,合金投资,4.68,38.39,8,10.12,7.56,97,10.9,1.57,418,2.18,有色金属,BK0478
9,600543,莫高股份,9.64,35.66,9,10.05,4.42,271,16.99,0.01,813,4.56,酿酒行业,BK0477
10,2427,ST尤夫,5.26,31.57,10,4.99,-0.63,1493,-0.38,-0.02,880,1.35,化纤行业,BK0471
11,200026,飞亚达Ｂ,6.67,31.45,11,0.15,11.48,30,0.91,-3.74,2535,1.52,珠宝首饰,BK0734
12,601686,N友发,18.52,31.13,12,44.01,31.13,4,44.01,31.13,4,44.01,金属制品,BK0739
13,600255,*ST梦舟,1.87,30.82,13,5.06,1.59,750,5.65,-8.51,3915,0,有色金属,BK0478
14,3021,N兆威,108.17,30.8,14,44,30.8,5,44,30.8,6,44,机械行业,BK0545
15,835,*ST长动,1.69,29.8,15,4.97,-3.9,2724,11.18,-5.19,3127,9.74,文化传媒,BK0486
16,2321,华英农业,4.49,28.88,16,10.05,15.43,14,22.01,10.35,20,22.01,农牧饲渔,BK0433
17,300669,沪宁股份,36.77,27.65,17,0.25,16.48,10,-1.66,16.01,10,-0.73,机械行业,BK0545
18,2636,金安国纪,10.07,26.99,18,10.05,27.37,6,27.47,19.15,7,24.32,电子元件,BK0459
19,900934,锦江Ｂ股,1.906,26.75,19,0.21,4.01,317,2.42,-8.05,3854,-2.71,旅游酒店,BK0485
20,803,*ST北能,14.14,26.39,20,1.65,4.17,297,-0.56,2.46,290,1.14,综合行业,BK0539
21,600800,天津磁卡,5.38,26.21,21,10.02,14.64,16,11.62,8.26,30,9.35,化工行业,BK0538
22,2716,*ST金贵,2.64,25.52,22,5.18,5.17,203,17.86,-3.06,2190,11.39,贵金属,BK0732
23,600331,宏达股份,2.86,24.9,23,10,6.32,142,14.86,-0.04,885,4.76,有色金属,BK0478
24,603876,鼎胜新材,14.54,24.76,24,9.98,5.74,166,6.29,1.46,437,1.75,有色金属,BK0478
25,600317,营口港,2.74,24.69,25,1.48,10.79,39,7.03,6.14,63,4.58,港口水运,BK0450
26,2122,*ST天马,2.28,24.49,26,5.07,3.24,422,9.09,-3.71,2513,7.04,机械行业,BK0545
27,600316,洪都航空,38.37,23.3,27,10.01,3.79,345,6.2,1.71,387,6.52,航天航空,BK0480
28,603555,*ST贵人,2.49,23.24,28,5.06,6.03,156,11.66,3.19,212,14.22,纺织服装,BK0436
29,600237,铜峰电子,5.05,23.23,29,10.02,6.99,117,7.22,5.34,83,14.51,电子元件,BK0459
30,551,创元科技,9.4,23.05,30,3.75,7.81,87,4.91,2.22,314,3.3,专用设备,BK0910
31,2502,*ST鼎龙,2.95,22.35,31,1.03,-15.29,4160,-0.67,-14.75,4193,-1.67,综合行业,BK0539
32,600278,东方创业,9.78,22.17,32,0.41,-4.64,2963,-2.3,-1.9,1631,-1.91,国际贸易,BK0484
33,600076,康欣新材,3.92,21.92,33,10.11,8.86,62,5.66,0.97,537,4.53,木业家具,BK0476
34,603076,乐惠国际,44.02,21.69,34,10,3.23,429,1.2,-0.32,979,5.39,专用设备,BK0910
35,603696,安记食品,12.69,21.44,35,6.91,2.34,583,4.88,1,533,-0.31,食品饮料,BK0438
36,600025,华能水电,4.55,21.42,36,0.66,10.94,38,1.79,6.98,44,5.32,电力行业,BK0428
37,837,*ST秦机,7.18,20.88,37,4.97,1.79,708,10.12,4.79,105,16.94,机械行业,BK0545
38,300319,麦捷科技,10.51,20.72,38,3.75,8.72,67,7.35,6.99,43,13.01,电子元件,BK0459
39,2628,成都路桥,4.04,20.43,39,-0.25,-3.96,2746,-0.98,-0.28,965,0.75,工程建设,BK0425
40,600103,青山纸业,2.1,20.42,40,2.44,7.48,101,6.06,1.07,517,3.45,造纸印刷,BK0470
41,603697,有友食品,21.1,20.32,41,10.01,7.77,89,12,0.35,712,4.98,食品饮料,BK0438
42,600460,士兰微,20.41,20.09,42,10.03,15.78,11,26.3,13.89,12,29.59,电子元件,BK0459
43,600496,精工钢构,5.45,19.77,43,3.02,6.95,119,3.22,-2.73,2012,0.37,水泥建材,BK0424
44,2123,梦网集团,18.91,19.69,44,8.93,4.89,227,5.94,0.31,723,3.9,通讯行业,BK0448
45,910,大亚圣象,17.42,19.52,45,2.65,11.8,27,8.06,6.28,60,7.46,木业家具,BK0476
46,600863,内蒙华电,2.6,19.43,46,-0.38,-5.96,3362,-1.52,-4.97,3037,-1.89,电力行业,BK0428
47,603377,东方时尚,19.87,19.25,47,-1.29,7.59,94,-3.5,5.37,81,-0.95,交运物流,BK0422
48,600978,*ST宜生,1.1,19.14,48,2.8,0.13,1160,2.8,-2.6,1939,-0.9,木业家具,BK0476
49,703,恒逸石化,13.02,19.03,49,2.28,-0.13,1319,0.85,-3.6,2462,-4.69,化工行业,BK0538
50,2172,澳洋健康,3.37,18.99,50,10.13,5.61,174,13.47,-0.75,1139,6.98,化纤行业,BK0471
51,2337,赛象科技,3.5,18.9,51,1.45,3.67,363,2.64,4.34,130,2.64,机械行业,BK0545
52,2499,*ST科林,4.49,18.6,52,4.91,4.48,266,2.05,2.43,295,5.15,输配电气,BK0457
53,300692,中环环保,14.82,18.55,53,4,5.41,188,6.08,-0.81,1170,0.27,环保工程,BK0728
54,2538,司尔特,6.43,18.54,54,5.24,11.57,29,7.89,4.65,110,4.72,化肥行业,BK0731
55,603825,华扬联众,25.74,18.36,55,-0.77,8.86,63,-3.16,11.49,17,-5.68,文化传媒,BK0486
56,2631,德尔未来,7.22,17.58,56,2.41,0.93,932,1.26,2.46,288,2.7,木业家具,BK0476
57,2206,海 利 得,4.22,17.57,57,0.24,4.79,235,2.18,-4.55,2877,-6.01,化纤行业,BK0471
58,300632,光莆股份,22.12,17.54,58,1.56,13.31,20,4.14,10.3,21,3.56,电子元件,BK0459
59,600233,圆通速递,13.49,17.52,59,1.58,6.01,157,4.65,2.96,234,3.69,交运物流,BK0422
60,2476,宝莫股份,5.27,17.45,60,0.76,-11.56,4052,-0.75,-4.49,2857,1.74,化工行业,BK0538
61,2278,神开股份,6.03,17.35,61,0.84,-3.66,2648,-2.43,-11.35,4107,-12.23,机械行业,BK0545
62,2352,顺丰控股,83.06,17.3,62,2.68,6.74,125,6.56,0.35,711,4.79,交运物流,BK0422
63,600753,东方银星,17,17.19,63,5.72,6.24,146,11.62,3.48,180,12.14,国际贸易,BK0484
64,2891,中宠股份,54.28,17.13,64,3.79,2.15,625,4.46,-1.81,1588,-1.26,食品饮料,BK0438
65,600203,福日电子,10.55,16.81,65,10.01,8.9,59,14.55,2.76,262,4.98,通讯行业,BK0448
66,2210,*ST飞马,2.22,16.8,66,2.78,2.77,498,8.82,-1.11,1282,7.25,综合行业,BK0539
67,2828,贝肯能源,9.67,16.79,67,3.53,5.18,202,4.65,1.68,394,6.73,石油行业,BK0464
68,2512,达华智能,5.39,16.54,68,0.56,9.03,56,4.05,-2.68,1976,1.7,电子元件,BK0459
69,2402,和而泰,17.82,16.24,69,2,4.11,307,4.33,1.7,388,7.16,电子元件,BK0459
70,2752,昇兴股份,5.96,16.22,70,3.29,-2.01,2034,-1.16,-5.33,3167,-8.31,金属制品,BK0739
71,600835,上海机电,20.25,16.15,71,2.22,1.72,728,1.61,-3.26,2312,-4.66,机械行业,BK0545
72,688519,南亚新材,37.45,16.1,72,5.67,10.96,37,13.73,3.2,209,4.61,电子元件,BK0459
73,300604,长川科技,25,15.9,73,5.98,6.21,150,7.71,1.53,426,4.69,专用设备,BK0910
74,2366,台海核电,4.34,15.78,74,0.7,-4.69,2975,-8.44,0.09,783,-2.47,机械行业,BK0545
75,2610,爱康科技,2.32,15.6,75,6.91,10.46,41,12.62,-1.77,1558,9.43,金属制品,BK0739
76,601866,中远海发,3.04,15.36,76,3.75,-0.3,1384,-0.65,-3.81,2562,-3.49,港口水运,BK0450
77,2756,永兴材料,29.93,15.33,77,10,-5.22,3147,3.96,-1.21,1323,25.81,钢铁行业,BK0479
78,603666,亿嘉和,86.3,15.32,78,6.33,4.24,289,5.93,0.76,583,6.66,专用设备,BK0910
79,600113,浙江东日,6.93,15.31,79,0.58,6,158,6.13,3.58,172,5.48,综合行业,BK0539
80,601116,三江购物,13.01,15.28,80,3.5,5.96,162,5,4.36,128,4.33,商业百货,BK0482
81,605288,凯迪股份,129.58,15.12,81,6.3,7.75,91,7.45,1.12,508,2.03,输配电气,BK0457
82,601566,九牧王,12.18,15.07,82,-0.81,-1.09,1683,-8.14,1.03,524,-1.3,纺织服装,BK0436
83,2112,三变科技,9.11,14.96,83,0.22,13.78,18,7.94,6.03,65,2.71,输配电气,BK0457
84,300423,昇辉科技,14.54,14.82,84,3.49,-3.32,2526,2.76,-2.41,1842,3.27,输配电气,BK0457
85,600828,茂业商业,3.99,14.7,85,-0.25,4,318,1.53,1.43,441,2.05,商业百货,BK0482
86,2266,浙富控股,4.56,14.68,86,0.44,3.96,321,0.22,-1.7,1533,-0.65,机械行业,BK0545
87,2801,微光股份,35.29,14.68,87,0,18.24,9,3.25,9.35,27,1.76,机械行业,BK0545
88,600862,中航高科,25.5,14.65,88,4.51,9.85,45,7.73,7.4,38,4.98,航天航空,BK0480
89,900933,华新Ｂ股,2.239,14.57,89,0.45,-5.29,3174,0.4,-4.22,2741,-1.88,水泥建材,BK0424
90,2790,瑞尔特,6.41,14.56,90,1.91,4.15,299,4.23,1.89,363,2.4,塑胶制品,BK0454
91,603588,高能环境,15.3,14.55,91,2.96,3.32,411,4.79,0.87,562,6.84,环保工程,BK0728
92,600377,宁沪高速,9.6,14.53,92,-1.23,2.62,532,-0.93,1.72,386,-0.72,高速公路,BK0421
93,2170,芭田股份,4.2,14.46,93,1.94,0.68,994,2.44,0.03,809,0.24,化肥行业,BK0731
94,2324,普利特,15.9,14.31,94,3.31,14.19,17,8.53,6.19,61,4.81,塑胶制品,BK0454
95,2514,宝馨科技,4.05,14.28,95,1.5,-9.03,3849,-6.03,-4.21,2731,2.27,金属制品,BK0739
96,799,酒鬼酒,115.1,14.27,96,7.97,2.19,613,5.68,-5.15,3111,0.68,酿酒行业,BK0477
97,2808,恒久科技,8.11,14.22,97,1.5,-11.07,4019,-1.46,-13.32,4167,-24.42,电子元件,BK0459
98,600220,江苏阳光,2.91,14.19,98,1.75,8.85,64,8.18,5.15,92,14.57,纺织服装,BK0436
99,600400,红豆股份,3.26,14.15,99,0,-2.65,2264,0.62,-4.02,2650,-0.31,纺织服装,BK0436
100,300211,亿通科技,7.71,14.14,100,0.65,4.98,221,3.49,-1.48,1442,-2.65,通讯行业,BK0448
101,2461,珠江啤酒,10.09,14.1,101,3.38,-2.19,2101,0.1,-4.5,2859,-6.05,酿酒行业,BK0477
102,603899,晨光文具,80.34,14.08,102,4.27,4.3,281,5.71,-0.02,879,2.4,文教休闲,BK0740
103,2259,*ST升达,3.29,14.03,103,1.86,-20.29,4208,-4.36,-10.84,4086,-2.08,公用事业,BK0427
104,571,*ST大洲,2.99,14.01,104,3.1,9.36,50,3.46,2.68,270,-0.33,煤炭采选,BK0437
105,600382,广东明珠,5.54,14,105,2.21,4.77,241,4.53,0.59,621,3.36,国际贸易,BK0484
106,601908,京运通,6.68,13.96,106,5.03,-0.46,1438,3.41,-2.81,2054,8.09,电力行业,BK0428
107,600892,*ST大晟,3.19,13.91,107,1.92,5.51,180,2.24,-0.51,1039,1.27,文化传媒,BK0486
108,2121,*ST科陆,3.6,13.83,108,1.12,-8.21,3755,-1.64,-8.43,3901,-2.17,仪器仪表,BK0458
109,2675,东诚药业,25.9,13.81,109,9.56,9.1,54,14.75,7.17,40,14.91,医药制造,BK0465
110,603789,星光农机,13.25,13.73,110,-0.23,11.58,28,-0.23,6.86,47,-1.41,机械行业,BK0545
111,600639,浦东金桥,12.8,13.69,111,0.16,2.05,650,0.71,-2.94,2124,1.59,房地产,BK0451
112,2453,华软科技,5.77,13.68,112,9.9,6.38,138,11.82,3.52,175,9.7,软件服务,BK0737
113,300076,GQY视讯,7.08,13.63,113,15.31,11.83,26,29.2,7.93,32,22.07,安防设备,BK0735
114,967,盈峰环境,9.22,13.62,114,2.67,1.51,772,4.18,-1.8,1576,3.71,环保工程,BK0728
115,600367,红星发展,7.55,13.62,115,2.72,0.4,1075,1.34,-0.91,1203,0.4,化工行业,BK0538
116,923,河钢资源,25.32,13.6,116,9.99,2.9,479,24.42,0.41,690,28.46,有色金属,BK0478
117,300187,永清环保,7.27,13.56,117,2.97,9.98,43,8.51,-1.61,1497,2.54,环保工程,BK0728
118,300081,恒信东方,9.21,13.47,118,5.26,8.7,69,16.58,6.88,46,18.53,电子信息,BK0447
119,600057,厦门象屿,6.55,13.47,119,1.24,-1.37,1788,0.31,1.8,376,5.14,交运物流,BK0422
120,603659,璞泰来,101.38,13.39,120,2.32,-0.72,1523,1.27,-4.74,2956,-1.57,材料行业,BK0537
121,603613,国联股份,92.82,13.38,121,0.83,12.59,22,6.89,6.19,62,4.75,电子信息,BK0447
122,7,全新好,8.14,13.26,122,0.74,-7.52,3664,-14.23,-0.41,1001,-11.52,房地产,BK0451
123,2245,澳洋顺昌,10.01,13.17,123,10,-4.16,2813,-3.84,-1.64,1510,15.06,交运物流,BK0422
124,2821,凯莱英,263,13.1,124,3.13,5.99,159,9.92,-0.41,1002,2.43,医疗行业,BK0727
125,2192,*ST融捷,29.4,13.09,125,5,-4.11,2791,0.58,-2.4,1834,13.6,电子元件,BK0459
